"date/time","branch"
25/11/2020 23:36:17,09516
25/11/2020 23:37:21,15684
26/11/2020 05:20:33,10198
26/11/2020 06:04:39,15859
26/11/2020 06:10:16,06255
26/11/2020 07:22:19,07606
26/11/2020 07:50:15,07814
26/11/2020 07:50:42,13272
26/11/2020 08:08:35,04436
26/11/2020 08:09:29,08075
26/11/2020 08:11:08,12040
26/11/2020 08:14:54,07596
26/11/2020 08:21:01,08275
26/11/2020 08:24:41,05161
26/11/2020 08:39:52,11852
26/11/2020 08:48:42,10588
26/11/2020 08:56:12,13517
26/11/2020 09:11:48,01110
26/11/2020 09:13:50,02320
26/11/2020 09:15:17,05958
26/11/2020 09:16:41,02525
26/11/2020 09:23:12,05735
26/11/2020 09:27:04,10641
26/11/2020 09:34:53,14762
26/11/2020 09:42:47,14522
26/11/2020 10:10:28,14775
26/11/2020 10:40:32,15550
26/11/2020 10:41:07,13309
26/11/2020 10:51:11,15550
26/11/2020 10:54:58,04244
26/11/2020 10:55:03,13719
26/11/2020 10:57:12,05224
26/11/2020 11:02:40,14758
26/11/2020 11:13:52,13204
26/11/2020 11:14:01,15550
26/11/2020 11:21:49,13787
26/11/2020 11:26:17,02512
26/11/2020 11:36:14,09949
26/11/2020 11:46:19,11276
26/11/2020 12:03:20,01147
26/11/2020 12:05:34,02496
26/11/2020 12:08:27,08216
26/11/2020 12:09:41,02490
26/11/2020 12:10:06,09078
26/11/2020 12:11:08,14586
26/11/2020 12:16:08,04062
26/11/2020 12:21:36,11605
26/11/2020 12:24:41,11903
26/11/2020 12:26:04,05550
26/11/2020 12:27:07,05791
26/11/2020 12:29:13,14774
26/11/2020 12:34:23,10990
26/11/2020 12:39:22,13517
26/11/2020 12:42:55,15777
26/11/2020 12:44:32,07600
26/11/2020 12:57:09,09234
26/11/2020 13:07:31,14173
26/11/2020 13:17:58,14381
26/11/2020 13:32:03,10041
26/11/2020 13:37:32,07853
26/11/2020 13:42:59,07649
26/11/2020 13:44:28,11456
26/11/2020 13:45:09,11977
26/11/2020 13:45:29,13852
26/11/2020 13:46:59,13852
26/11/2020 13:47:08,11463
26/11/2020 13:50:41,05198
26/11/2020 13:54:03,05448
26/11/2020 13:55:35,11470
26/11/2020 13:56:14,13687
26/11/2020 13:57:42,13687
26/11/2020 13:58:33,10720
26/11/2020 14:02:29,06271
26/11/2020 14:03:38,05739
26/11/2020 14:12:18,15502
26/11/2020 14:12:32,01516
26/11/2020 14:14:49,05486
26/11/2020 14:17:12,14408
26/11/2020 14:20:03,06988
26/11/2020 14:21:59,03656
26/11/2020 14:22:16,01101
26/11/2020 14:28:24,03183
26/11/2020 14:46:24,01118
26/11/2020 14:47:08,10986
26/11/2020 14:50:29,15939
26/11/2020 14:52:41,03152
26/11/2020 14:52:58,10986
26/11/2020 15:01:08,10986
26/11/2020 15:01:09,10451
26/11/2020 15:09:18,10986
26/11/2020 15:12:27,05781
26/11/2020 15:12:43,05447
26/11/2020 15:15:08,10986
26/11/2020 15:18:29,03706
26/11/2020 15:31:08,00263
26/11/2020 15:34:03,01824
26/11/2020 15:37:01,14306
26/11/2020 15:42:07,04922
26/11/2020 15:42:21,09028
26/11/2020 15:48:25,11957
26/11/2020 15:51:01,13921
26/11/2020 15:51:58,01732
26/11/2020 15:52:35,13995
26/11/2020 15:59:06,13774
26/11/2020 15:59:46,13602
26/11/2020 16:01:24,14699
26/11/2020 16:02:18,14407
26/11/2020 16:04:21,08403
26/11/2020 16:05:01,13860
26/11/2020 16:08:56,08437
26/11/2020 16:10:57,15825
26/11/2020 16:15:51,03152
26/11/2020 16:20:30,11660
26/11/2020 16:25:02,14762
26/11/2020 16:35:21,13196
26/11/2020 16:41:20,06570
26/11/2020 16:51:39,10582
26/11/2020 16:59:24,14405
26/11/2020 17:00:58,11172
26/11/2020 17:02:08,13628
26/11/2020 17:05:20,08157
26/11/2020 17:09:06,02084
26/11/2020 17:17:22,11442
26/11/2020 17:23:19,09847
26/11/2020 17:28:53,08622
26/11/2020 17:30:32,01142
26/11/2020 17:30:41,05463
26/11/2020 17:31:40,13206
26/11/2020 17:32:38,09118
26/11/2020 17:34:06,15171
26/11/2020 17:35:53,06063
26/11/2020 17:38:47,04796
26/11/2020 17:41:21,11427
26/11/2020 17:44:04,04088
26/11/2020 17:44:04,10271
26/11/2020 17:46:06,03647
26/11/2020 17:47:33,10943
26/11/2020 17:52:09,06347
26/11/2020 17:53:54,01795
26/11/2020 17:54:33,13571
26/11/2020 17:56:44,14143
26/11/2020 18:04:24,05578
26/11/2020 18:06:00,06186
26/11/2020 18:06:33,09473
26/11/2020 18:12:17,07692
26/11/2020 18:13:05,09831
26/11/2020 18:14:56,15258
26/11/2020 18:17:34,14699
26/11/2020 18:24:22,11431
26/11/2020 18:24:43,06162
26/11/2020 18:25:52,11431
26/11/2020 18:26:29,11408
26/11/2020 18:27:03,01539
26/11/2020 18:27:52,10312
26/11/2020 18:31:08,15302
26/11/2020 18:32:34,08668
26/11/2020 18:36:04,15571
26/11/2020 18:38:27,04470
26/11/2020 18:42:07,06529
26/11/2020 18:44:44,04069
26/11/2020 18:49:25,04471
26/11/2020 18:50:40,07356
26/11/2020 18:51:06,07187
26/11/2020 18:51:25,06986
26/11/2020 18:54:47,01848
26/11/2020 18:55:05,14020
26/11/2020 18:56:19,13863
26/11/2020 18:57:52,00249
26/11/2020 19:01:10,01445
26/11/2020 19:02:12,02574
26/11/2020 19:02:47,15374
26/11/2020 19:02:48,00511
26/11/2020 19:08:12,13903
26/11/2020 19:12:10,05209
26/11/2020 19:13:40,05209
26/11/2020 19:14:23,03538
26/11/2020 19:17:46,05861
26/11/2020 19:29:28,13091
26/11/2020 19:30:07,14486
26/11/2020 19:32:30,07597
26/11/2020 19:33:38,15691
26/11/2020 19:34:46,03195
26/11/2020 19:36:50,15302
26/11/2020 19:37:48,10257
26/11/2020 19:39:50,12134
26/11/2020 19:42:10,02957
26/11/2020 19:46:39,06480
26/11/2020 19:46:50,02957
26/11/2020 19:49:38,04575
26/11/2020 19:50:34,08335
26/11/2020 19:52:12,08912
26/11/2020 19:56:31,14160
26/11/2020 19:57:30,13414
26/11/2020 19:59:30,11058
26/11/2020 20:03:06,15233
26/11/2020 20:05:03,08821
26/11/2020 20:07:55,11542
26/11/2020 20:11:04,05939
26/11/2020 20:13:27,05049
26/11/2020 20:13:50,12134
26/11/2020 20:15:31,08035
26/11/2020 20:24:18,04993
26/11/2020 20:26:11,12131
26/11/2020 20:30:14,08621
26/11/2020 20:33:40,09393
26/11/2020 20:33:51,08440
26/11/2020 20:35:23,00208
26/11/2020 20:42:25,10298
26/11/2020 20:47:39,11398
26/11/2020 20:48:10,04346
26/11/2020 21:05:13,05052
26/11/2020 21:12:24,01285
26/11/2020 21:29:34,05954
26/11/2020 21:34:52,07543
26/11/2020 21:35:59,13830
26/11/2020 21:46:56,05843
26/11/2020 21:48:53,05954
26/11/2020 22:17:09,11975
24/11/2020 23:16:01,11496
25/11/2020 06:10:05,01154
25/11/2020 06:12:33,11363
25/11/2020 06:29:54,02267
25/11/2020 07:12:11,10919
25/11/2020 07:18:25,15927
25/11/2020 07:24:14,10575
25/11/2020 07:28:44,08697
25/11/2020 07:44:54,05880
25/11/2020 08:06:19,16021
25/11/2020 08:34:57,10542
25/11/2020 08:42:49,13197
25/11/2020 08:56:46,13992
25/11/2020 09:04:20,02781
25/11/2020 09:04:49,05083
25/11/2020 09:12:36,15888
25/11/2020 09:25:10,06355
25/11/2020 09:26:50,06355
25/11/2020 09:49:08,00217
25/11/2020 10:00:28,06104
25/11/2020 10:10:16,02550
25/11/2020 10:14:17,10762
25/11/2020 10:15:08,14462
25/11/2020 10:17:52,01601
25/11/2020 10:22:13,09485
25/11/2020 10:24:11,06347
25/11/2020 10:30:18,11535
25/11/2020 10:31:58,11535
25/11/2020 10:40:27,11640
